,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,60,RL,0,13517,Pave,NA,3,Lvl,4,CulDSac,3,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289,4,3,CBlock,3,3,1,6,533,1,0,192,725,GasA,5,Y,4,725,754,0,1479,0,0,2,1,3,1,4,6,5,0,0,Attchd,1976,2,2,475,3,3,1,0,44,0,0,0,0,0,0,NA,0,3,2010,WD ,130500
1,60,RL,43,11492,Pave,NA,3,Lvl,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132,4,3,PConc,4,3,1,6,637,1,0,276,913,GasA,5,Y,4,913,1209,0,2122,1,0,2,1,4,1,4,8,5,1,3,Attchd,1997,2,2,559,3,3,1,0,74,0,0,0,0,0,0,NA,0,4,2009,WD ,220000
2,20,RL,68,7922,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,Y,4,1057,0,0,1057,1,0,1,0,3,1,4,5,5,0,0,Detchd,1953,1,1,246,3,3,1,0,52,0,0,0,0,0,0,NA,0,1,2010,WD ,109000
3,60,RL,73,9802,Pave,NA,4,Lvl,4,Inside,3,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,384,384,GasA,4,Y,4,744,700,0,1444,0,0,2,1,3,1,3,7,5,0,0,BuiltIn,2007,3,2,400,3,3,1,100,0,0,0,0,0,0,0,NA,0,4,2010,WD ,174000
4,50,RL,82,14235,Pave,NA,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0,3,3,PConc,2,4,1,1,0,1,0,676,676,GasA,3,Y,4,831,614,0,1445,0,0,2,0,3,1,3,6,5,0,0,Detchd,1957,1,2,484,3,3,0,0,59,0,0,0,0,0,0,NA,0,3,2010,WD ,138500
5,20,RL,137,16492,Pave,NA,3,Lvl,4,Corner,3,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0,4,3,CBlock,3,3,1,5,247,3,713,557,1517,GasA,5,Y,4,1888,0,0,1888,0,0,2,1,2,1,4,6,3,1,4,Attchd,1966,3,2,578,3,3,1,0,0,0,0,0,0,0,0,NA,0,6,2010,WD ,190000
6,180,RM,35,3675,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82,3,3,PConc,4,3,4,6,547,1,0,0,547,GasA,4,Y,4,1072,0,0,1072,1,0,2,0,2,1,3,5,5,0,0,Basment,2005,3,2,525,3,3,1,0,44,0,0,0,0,0,0,NA,0,6,2006,New,140000
7,20,RL,0,12160,Pave,NA,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180,3,3,CBlock,3,3,1,3,1000,1,0,188,1188,GasA,2,Y,4,1188,0,0,1188,1,0,1,0,3,1,3,6,5,0,0,Attchd,1959,2,2,531,3,3,1,0,0,0,0,0,0,0,3,NA,0,5,2010,COD,142000
8,20,RL,0,15783,Pave,NA,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,3,292,1,0,632,924,GasA,3,Y,4,924,0,0,924,0,0,1,0,2,1,3,6,5,0,0,Detchd,1952,1,1,420,3,3,1,0,324,0,0,0,0,0,3,Shed,400,6,2007,WD ,112500
9,60,RL,70,11606,Pave,NA,3,HLS,4,Inside,1,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192,3,3,PConc,4,3,3,3,650,1,0,390,1040,GasA,3,Y,4,1040,1040,0,2080,0,1,1,2,5,1,2,9,5,2,3,Attchd,1969,1,2,504,3,3,1,335,0,0,0,0,0,0,0,NA,0,9,2007,WD ,135000
10,160,RM,21,1680,Pave,NA,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232,3,3,CBlock,3,3,1,5,387,1,0,96,483,GasA,3,Y,4,483,504,0,987,0,0,1,1,2,1,3,4,5,0,0,Detchd,1971,1,1,264,3,3,1,0,0,0,0,0,0,0,0,NA,0,7,2008,COD,85400
11,20,RL,64,7488,Pave,NA,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,6,393,1,0,815,1208,GasA,5,Y,4,1208,0,0,1208,0,0,2,0,2,1,4,6,5,0,0,Attchd,2005,2,2,632,3,3,1,105,58,0,0,0,0,0,0,NA,0,2,2006,WD ,183600
12,70,RL,120,26400,Pave,NA,4,Bnk,4,FR2,3,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0,4,3,PConc,0,0,0,0,0,0,0,0,0,GasA,5,Y,4,1288,728,0,2016,0,0,1,0,4,1,3,7,3,1,3,Attchd,1900,1,2,576,3,3,1,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,131000
13,160,FV,24,2645,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,4,3,PConc,4,3,1,6,813,1,0,147,960,GasA,5,Y,4,962,645,0,1607,1,0,2,1,3,1,4,7,5,0,0,Detchd,2000,1,2,480,3,3,1,169,0,0,0,0,0,0,0,NA,0,12,2008,ConLD,200000
14,20,RL,74,9627,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,6,24,1,0,1327,1351,GasA,5,Y,4,1361,0,0,1361,0,0,2,0,3,1,4,6,5,0,0,Attchd,2007,2,2,610,3,3,1,0,50,0,0,0,0,0,0,NA,0,6,2008,WD ,193000
15,20,RL,93,10114,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,5,3,3,1,0,1,0,1430,1430,GasA,5,Y,4,1430,0,0,1430,0,0,2,0,3,1,4,7,5,0,0,Attchd,2004,2,2,624,3,3,1,0,0,0,0,0,0,0,0,NA,0,3,2010,WD ,173500
16,70,RM,34,4571,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,624,624,GasA,2,N,4,624,720,0,1344,0,0,1,0,4,1,3,7,5,0,0,Detchd,1916,1,3,513,2,2,1,0,0,96,0,0,0,0,0,NA,0,5,2008,COD,98000
17,20,RL,80,8816,Pave,NA,4,Lvl,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,3,1,3,651,1,0,470,1121,GasA,3,Y,4,1121,0,0,1121,1,0,1,0,3,1,3,5,5,0,0,Detchd,1963,1,2,480,3,3,1,0,80,0,0,0,0,0,3,NA,0,6,2009,WD ,139000
18,20,RL,71,8197,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148,3,3,CBlock,3,3,1,1,0,1,0,660,660,GasA,5,Y,4,1285,0,0,1285,0,0,1,1,3,1,3,7,5,1,3,Attchd,1977,2,2,528,3,3,1,138,0,0,0,0,0,0,3,NA,0,4,2007,WD ,143500
19,60,FV,72,8640,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,2,6,24,1,0,732,756,GasA,5,Y,4,764,783,0,1547,0,0,2,1,3,1,4,7,5,0,0,Attchd,2009,1,2,614,3,3,1,169,45,0,0,0,0,0,0,NA,0,6,2010,Con,215200
20,20,RL,109,8724,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,4,3,1,4,492,1,0,402,894,GasA,4,Y,4,894,0,0,894,0,0,1,0,3,1,3,5,5,1,1,Attchd,1968,3,2,450,3,3,1,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,129000
21,120,RL,40,5664,Pave,NA,3,Lvl,4,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0,4,3,PConc,4,3,1,6,1158,1,0,343,1501,GasA,5,Y,4,1659,0,0,1659,1,0,2,0,2,1,5,5,5,1,5,Attchd,2000,3,2,499,3,3,1,212,59,0,0,0,0,0,0,NA,0,10,2009,WD ,278000
22,60,RL,103,12867,Pave,NA,3,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,0,4,3,PConc,5,3,3,1,0,1,0,1209,1209,GasA,5,Y,4,1209,1044,0,2253,0,0,2,1,3,1,5,8,5,1,4,Attchd,2005,3,2,575,3,3,1,243,142,0,0,0,0,0,0,NA,0,7,2006,New,344133
23,20,RL,0,7980,Pave,NA,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,PConc,4,3,1,5,935,1,0,233,1168,GasA,5,Y,4,1187,0,0,1187,1,0,2,0,3,1,3,6,5,0,0,Attchd,1992,3,2,420,3,3,1,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,185000
24,190,RL,100,34650,Pave,NA,4,Bnk,4,Inside,3,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,2,3,1056,1,0,0,1056,GasA,3,N,4,1056,0,0,1056,1,0,1,0,3,1,3,5,5,0,0,Attchd,1955,3,2,572,3,3,1,264,0,0,0,0,0,0,0,NA,0,1,2006,WD ,145000
25,20,RL,92,10573,Pave,NA,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3,3,3,CBlock,3,3,1,3,1312,1,0,141,1453,GasA,5,Y,4,1453,0,0,1453,1,0,2,0,3,1,3,6,5,1,3,Attchd,1961,2,2,530,3,3,1,0,49,0,0,288,0,0,4,NA,0,4,2009,WD ,187500
26,20,RL,65,8450,Pave,NA,4,Lvl,4,Inside,3,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,1,6,553,4,117,224,894,GasA,5,Y,4,894,0,0,894,1,0,1,0,3,1,3,5,5,1,4,Detchd,1973,1,1,336,3,3,1,416,144,0,0,0,0,0,3,NA,0,4,2010,WD ,138500
27,50,RL,0,11700,Pave,Grvl,3,HLS,4,Inside,3,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0,3,3,CBlock,3,3,1,4,606,1,0,336,942,GasA,5,Y,4,1265,673,0,1938,0,0,2,0,4,1,4,7,4,1,4,Detchd,1937,1,1,240,3,3,1,0,40,0,0,0,0,0,0,NA,0,7,2008,WD ,198000
28,190,C (all),75,8250,Pave,NA,4,Lvl,4,Inside,3,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,1,1,0,1,0,957,957,GasA,2,N,4,1034,957,0,1991,0,0,2,0,4,2,3,9,5,0,0,NA,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,NA,0,6,2007,WD ,119600
29,50,RL,60,8064,Pave,NA,4,Lvl,4,Corner,3,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,2,1,0,1,0,672,672,GasA,5,Y,4,672,252,0,924,0,0,1,0,3,1,3,6,5,1,1,Detchd,2003,1,2,576,3,3,1,0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900
30,20,RL,80,9600,Pave,NA,4,Lvl,4,Inside,3,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0,4,3,PConc,4,3,1,5,1104,1,0,1420,2524,GasA,3,Y,4,2524,0,0,2524,1,0,2,1,4,1,4,9,5,1,4,Attchd,1981,3,2,542,3,3,1,474,120,0,0,0,0,0,3,NA,0,7,2009,WD ,278000
31,70,RL,0,11435,Pave,NA,3,HLS,4,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0,3,3,PConc,4,3,1,1,0,1,0,792,792,GasA,2,Y,4,792,725,0,1517,0,0,1,0,3,1,4,7,5,2,4,Detchd,1931,1,2,400,3,3,1,0,0,0,0,0,0,0,0,NA,0,6,2006,WD ,230000
32,120,RL,30,9549,Pave,NA,3,Lvl,4,CulDSac,3,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0,4,4,PConc,4,4,3,2,437,6,1057,0,1494,GasA,5,Y,4,1494,0,0,1494,1,0,1,1,2,1,5,6,5,1,4,Attchd,1995,3,2,481,3,3,1,0,30,0,0,216,0,0,0,NA,0,4,2006,WD ,270000
33,20,RL,60,10950,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,5,441,1,0,507,948,GasA,3,Y,4,948,0,0,948,0,0,1,0,2,1,3,5,5,0,0,Detchd,1952,1,2,410,3,3,0,0,48,0,0,0,0,0,0,NA,0,4,2007,WD ,125000
34,20,RL,79,10637,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336,4,3,PConc,5,3,4,6,1288,1,0,417,1705,GasA,5,Y,4,1718,0,0,1718,1,0,2,0,3,1,4,7,5,1,4,Attchd,2007,2,3,826,3,3,1,208,44,0,0,0,0,0,0,NA,0,9,2009,WD ,297000
35,20,RL,80,9000,Pave,NA,3,HLS,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82,3,3,CBlock,4,3,4,1,0,1,0,160,160,GasA,2,Y,4,1142,0,0,1142,0,0,1,0,2,1,3,5,5,1,4,Basment,1958,2,1,384,3,3,1,0,28,64,0,0,0,0,0,NA,0,4,2009,WD ,113500
